tileswide 20
tileshigh 13
tilewidth 16
tileheight 16

layer 0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2,3,3,3,3,3,3,3,3,3,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22,10,18,18,19,18,18,18,18,20,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22,18,19,33,18,18,19,33,18,18,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22,18,19,18,26,33,26,19,19,18,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22,33,18,33,19,26,18,18,19,19,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22,18,25,18,18,19,19,18,26,18,13,3,3,3,3,3,4,3,3,14,
29,3,45,3,30,18,26,18,19,18,19,18,33,18,33,20,11,18,24,28,
-1,-1,-1,-1,22,18,18,26,18,18,18,18,18,18,18,18,18,25,18,28,
-1,-1,-1,-1,22,18,18,18,19,19,26,26,26,18,33,18,19,26,18,28,
-1,-1,-1,-1,22,31,18,18,18,33,26,18,18,33,18,18,33,18,27,28,
-1,-1,-1,-1,37,38,38,38,38,38,38,38,44,38,38,38,38,38,45,35,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

